node1|node2|type|resistance|polarity|voltage|current|flow
(9, 7)|(9, 12)|battery|0|2:(9, 7)|9.0|0.4781|(9, 7)
(9, 7)|(9, 5)|resistance|10|2:(9, 5)|4.7812|0.4781|(9, 5)
(9, 12)|(6, 10)|resistance|0|3:(6, 10)|-0.0|0.1969|(9, 12)
(9, 12)|(12, 9)|resistance|15|2:(9, 12)#3:(9, 12)|4.2188|0.2813|(9, 12)
(9, 5)|(6, 10)|resistance|25|1:(6, 10)#3:(9, 5)|4.2187|0.1687|(6, 10)
(9, 5)|(5, 5)|resistance|100|1:(9, 5)|2.8125|0.0281|(5, 5)
(9, 5)|(12, 9)|resistance|0|2:(12, 9)#3:(12, 9)|0.0|0.2813|(12, 9)
(6, 10)|(5, 5)|resistance|75|0:(5, 5)#1:(5, 5)|1.4062|0.0187|(6, 10)
(6, 10)|(4, 8)|resistance|50|0:(6, 10)|0.4687|0.0094|(6, 10)
(5, 5)|(4, 8)|resistance|100|0:(4, 8)|0.9375|0.0094|(4, 8)
